# starting Mon May 27 20:40:18 2019
# memory overrun protection of 4 Bytes
# initializing new memory with 0xAA
# sweeping deleted memory with 0xEE
# aborts on OVERWRITE_MEMORY 
# thread save
# internal buffer now 32768
# finished Mon May 27 20:40:21 2019
# LeakReport
# from new @ |      size  # Pointer Addr
L      (nil)          32  # 0x564963707230
L 0x7fbf35b837a0          40  # 0x5649636f07c0
L 0x564961ff90e3          48  # 0x564963785090
L 0x564961ff90e3          48  # 0x564963778670
L 0x564961ff8a85         176  # 0x5649637b4a60
L 0x564961ff90e3          48  # 0x5649637783a0
L 0x564961ff90e3          48  # 0x564963784df0
L 0x564961ff8a85         176  # 0x5649637b82a0
L 0x564961ff90e3          48  # 0x564963778bc0
L 0x564961ff90e3          48  # 0x5649637b8260
L 0x564961ff8a85         176  # 0x5649637c8a60
L 0x564961ff90e3          48  # 0x5649637839c0
L 0x564961ff90e3          48  # 0x564963780680
L 0x564961ff8a85         176  # 0x5649637c6e80
L 0x564961ff90e3          48  # 0x5649637b8040
L 0x564961ff90e3          48  # 0x5649637b79a0
L 0x564961ff8a85         176  # 0x5649637b3e80
L 0x564961ff90e3          48  # 0x56496377b240
L 0x564961ff90e3          48  # 0x564963783540
L 0x564961ff8a85         176  # 0x5649637b3430
L 0x564961ff90e3          48  # 0x5649637b7ef0
L 0x564961ff90e3          48  # 0x5649637c58a0
L 0x564961ff8a85         176  # 0x5649637b2ad0
L 0x564961ff90e3          48  # 0x564963783030
L 0x564961ff90e3          48  # 0x56496377eca0
L 0x564961ff8a85         176  # 0x5649637b2320
L 0x564961ff90e3          48  # 0x564963780620
L 0x564961ff90e3          48  # 0x56496377e100
L 0x564961ff8a85         176  # 0x5649637b1c30
L 0x564961ff90e3          48  # 0x5649637c5860
L 0x564961ff90e3          48  # 0x5649637be2e0
L 0x564961ff8a85         176  # 0x5649637b16f0
L 0x564961ff90e3          48  # 0x5649637c8a20
L 0x564961ff90e3          48  # 0x5649637b2200
L 0x564961ff8a85         176  # 0x5649637b1330
L 0x564961ff90e3          48  # 0x5649637c9950
L 0x564961ff90e3          48  # 0x5649637c9990
L 0x564961ff8a85         176  # 0x5649637b10c0
L 0x564961ff90e3          48  # 0x5649637b28f0
L 0x564961ff90e3          48  # 0x5649637080e0
L 0x564961ff8a85         176  # 0x5649637b0f40
L 0x564961ff90e3          48  # 0x5649637ada30
L 0x564961ff90e3          48  # 0x5649637500c0
L 0x564961ff8a85         176  # 0x5649637af320
L 0x564961ff90e3          48  # 0x5649637ad9f0
L 0x564961ff90e3          48  # 0x5649637b30a0
L 0x564961ff8a85         176  # 0x5649637ae640
L 0x564961ff90e3          48  # 0x5649637bb3e0
L 0x564961ff90e3          48  # 0x5649637b9e80
L 0x564961ff8a85         176  # 0x5649637ada70
L 0x564961ff90e3          48  # 0x56496377ab50
L 0x564961ff90e3          48  # 0x56496377b190
L 0x564961ff8a85         176  # 0x5649637acfd0
L 0x564961ff90e3          48  # 0x5649637c6e40
L 0x564961ff90e3          48  # 0x56496377b0a0
L 0x564961ff8a85         176  # 0x5649637ac6b0
L 0x564961ff90e3          48  # 0x5649637b49e0
L 0x564961ff90e3          48  # 0x56496377b200
L 0x564961ff8a85         176  # 0x5649637abf30
L 0x564961ff90e3          48  # 0x5649637ac500
L 0x564961ff90e3          48  # 0x5649637b0f00
L 0x564961ff8a85         176  # 0x5649637ab960
L 0x564961ff90e3          48  # 0x5649637acc80
L 0x564961ff90e3          48  # 0x5649637ae600
L 0x564961ff8a85         176  # 0x5649637ab4b0
L 0x564961ff90e3          48  # 0x5649637acf90
L 0x564961ff90e3          48  # 0x5649637bb420
L 0x564961ff8a85         176  # 0x5649637ab180
L 0x564961ff90e3          48  # 0x5649637b0a20
L 0x564961ff90e3          48  # 0x5649637cb5d0
L 0x564961ff8a85         176  # 0x5649637aaf70
L 0x564961ff90e3          48  # 0x5649637b8ab0
L 0x564961ff90e3          48  # 0x5649637acf50
L 0x564961ff8a85         176  # 0x5649637aae80
L 0x564961ff90e3          48  # 0x564963784db0
L 0x564961ff90e3          48  # 0x5649637a87b0
L 0x564961ff8a85         176  # 0x5649637aa040
L 0x564961ff90e3          48  # 0x5649637af8f0
L 0x564961ff90e3          48  # 0x5649637a9380
L 0x564961ff8a85         176  # 0x5649637a93c0
L 0x564961ff90e3          48  # 0x5649637a7d50
L 0x564961ff90e3          48  # 0x5649637a7b00
L 0x564961ff8a85         176  # 0x5649637a87f0
L 0x564961ff90e3          48  # 0x564963783f10
L 0x564961ff90e3          48  # 0x5649637b9e40
L 0x564961ff8a85         176  # 0x5649637a7dd0
L 0x564961ff90e3          48  # 0x5649637a73d0
L 0x564961ff90e3          48  # 0x56496377ab10
L 0x564961ff8a85         176  # 0x5649637a7500
L 0x564961ff90e3          48  # 0x564963779900
L 0x564961ff90e3          48  # 0x5649637a7d90
L 0x564961ff8a85         176  # 0x5649637a6dd0
L 0x564961ff90e3          48  # 0x56496377a950
L 0x564961ff90e3          48  # 0x5649637a74c0
L 0x564961ff8a85         176  # 0x5649637a67d0
L 0x564961ff90e3          48  # 0x5649637b09e0
L 0x564961ff90e3          48  # 0x5649637cb590
L 0x564961ff8a85         176  # 0x5649637a6320
L 0x564961ff90e3          48  # 0x5649637afe40
L 0x564961ff90e3          48  # 0x5649637b9c30
L 0x564961ff8a85         176  # 0x5649637a5f70
L 0x564961ff90e3          48  # 0x5649637b4a20
L 0x564961ff90e3          48  # 0x5649637a5f30
L 0x564961ff8a85         176  # 0x5649637a5cd0
L 0x564961ff90e3          48  # 0x5649637a4db0
L 0x564961ff90e3          48  # 0x564963779e50
L 0x564961ff8a85         176  # 0x5649637a5b80
L 0x564961ff90e3          48  # 0x5649637a4190
L 0x564961ff90e3          48  # 0x5649637a41d0
L 0x564961ff8a85         176  # 0x5649637a4df0
L 0x564961ff90e3          48  # 0x56496377a910
L 0x564961ff90e3          48  # 0x5649637a2d80
L 0x564961ff8a85         176  # 0x5649637a4210
L 0x564961ff90e3          48  # 0x564963775030
L 0x564961ff90e3          48  # 0x5649637a5c90
L 0x564961ff8a85         176  # 0x5649637a3740
L 0x564961ff90e3          48  # 0x5649637757f0
L 0x564961ff90e3          48  # 0x5649637a2460
L 0x564961ff8a85         176  # 0x5649637a2dc0
L 0x564961ff90e3          48  # 0x5649637a2d40
L 0x564961ff90e3          48  # 0x5649637a2b50
L 0x564961ff8a85         176  # 0x5649637a2580
# total allocation requests: 866945 ; max. mem used 593 kBytes
# leak  10952 Bytes	:-(
